Nama Produk,Tahun Rilis,CPU,Kapasitas Baterai,RAM,Memori Internal,Kamera Utama,Kamera Selfie,Resolusi,Tipe Layar,Operasi Sistem
Sony Xperia Z2 LTE-A D6543  (Sony Sirius),Apr 2014,Qualcomm Snapdragon 801 MSM8974AB v3,3200 mAh,3 GB,16 GB,20 MP,2 MP,1080x1920,Color PVA TFT LCD,Google Android 4.4.2 (KitKat)
Sony Xperia Z1 LTE C6906  (Sony Honami),Apr 2014,Qualcomm Snapdragon 800 MSM8974 v1 (Snapdragon S4 Prime),3000 mAh,2 GB,16 GB,20 MP,2 MP,1080x1920,Color PVA TFT LCD,Google Android 4.2.2 (Jelly Bean)
Sony Xperia T2 Ultra D5316 LTE-A / D5316N  (Sony Tianchi),May 2014,Qualcomm Snapdragon 400 MSM8928,3000 mAh,1 GB,8 GB,12 MP,1 MP,720x1280,Color PVA TFT LCD,Google Android 4.3 (Jelly Bean)
Sony Xperia ZL2 SOL25  (Sony Canopus Anna),May 2014,Qualcomm Snapdragon 801 MSM8974AB v3,3000 mAh,3 GB,32 GB,20 MP,2 MP,1080x1920,Color PVA TFT LCD,Google Android 4.4.2 (KitKat)
Sony Xperia Z2 4G TD-LTE L50u  (Sony Sirius),May 2014,Qualcomm Snapdragon 801 MSM8974AB v3,3200 mAh,3 GB,16 GB,20 MP,2 MP,1080x1920,Color PVA TFT LCD,Google Android 4.4.2 (KitKat)
Sony Xperia Z2 LTE-A SO-03F  (Sony Sirius Maki),May 2014,Qualcomm Snapdragon 801 MSM8974AB v3,3200 mAh,3 GB,32 GB,20 MP,2 MP,1080x1920,Color PVA TFT LCD,Google Android 4.4.2 (KitKat)
Sony Xperia M2 LTE-A D2303  (Sony Eagle Gina SS),May 2014,Qualcomm Snapdragon 400 MSM8926,2300 mAh,1 GB,8 GB,8 MP,1 MP,540x960,Color TN-TFT LCD,Google Android 4.3 (Jelly Bean)
Sony Xperia A2 LTE-A SO-04F  (Sony Altair Maki),Jun 2014,Qualcomm Snapdragon 800 MSM8974 v1 (Snapdragon S4 Prime),2300 mAh,2 GB,16 GB,20 MP,2 MP,720x1280,Color PVA TFT LCD,Google Android 4.4.2 (KitKat)
Sony Xperia Z2a D6563  (Sony Canopus),Jun 2014,Qualcomm Snapdragon 801 MSM8974AB v3,3000 mAh,3 GB,32 GB,20 MP,2 MP,1080x1920,Color PVA TFT LCD,Google Android 4.4.2 (KitKat)
Sony Xperia T3 LTE-A D5106  (Sony Seagull),Jul 2014,Qualcomm Snapdragon 400 MSM8928,2500 mAh,1 GB,8 GB,8 MP,1 MP,720x1280,Color PVA TFT LCD,Google Android 4.4.2 (KitKat)
Sony Xperia C3 Dual TD-LTE S55t,Jul 2014,Qualcomm Snapdragon 400 MSM8926,2500 mAh,1 GB,8 GB,8 MP,5 MP,720x1280,Color PVA TFT LCD,Google Android 4.4.2 (KitKat)
Sony Xperia C3 Dual TD-LTE S55u,Jul 2014,Qualcomm Snapdragon 400 MSM8926,2500 mAh,1 GB,8 GB,8 MP,5 MP,720x1280,Color PVA TFT LCD,Google Android 4.4.2 (KitKat)
Sony Xperia Z2 LTE-A D6508  (Sony Sirius Viv),Jul 2014,Qualcomm Snapdragon 801 MSM8974AB v3,3200 mAh,3 GB,16 GB,20 MP,2 MP,1080x1920,Color PVA TFT LCD,Google Android 4.4.2 (KitKat)
Sony Xperia T3 LTE-A D5103  (Sony Seagull),Jul 2014,Qualcomm Snapdragon 400 MSM8928,2500 mAh,1 GB,8 GB,8 MP,1 MP,720x1280,Color PVA TFT LCD,Google Android 4.4.2 (KitKat)
Sony Xperia T3 HSPA D5102 M50w  (Sony Seagull),Jul 2014,Qualcomm Snapdragon 400 MSM8228,2500 mAh,1 GB,8 GB,8 MP,1 MP,720x1280,Color PVA TFT LCD,Google Android 4.4.2 (KitKat)
Sony Xperia C3 dual D2502,Aug 2014,Qualcomm Snapdragon 400 MSM8226 (Snapdragon S4 ),2500 mAh,1 GB,8 GB,8 MP,5 MP,720x1280,Color PVA TFT LCD,Google Android 4.4.2 (KitKat)
Sony Xperia Z3 Compact TD-LTE D5833,Sep 2014,Qualcomm Snapdragon 801 MSM8974AC v3,2600 mAh,2 GB,16 GB,20 MP,2 MP,720x1280,Color IPS TFT LCD,Google Android 4.4.4 (KitKat)
Sony Xperia M2 Aqua LTE-A D2406,Sep 2014,Qualcomm Snapdragon 400 MSM8926,2330 mAh,1 GB,8 GB,8 MP,1 MP,540x960,Color IPS TFT LCD,Google Android 4.4.2 (KitKat)
Sony Xperia M2 Aqua LTE-A D2403,Sep 2014,Qualcomm Snapdragon 400 MSM8926,2330 mAh,1 GB,8 GB,8 MP,1 MP,540x960,Color IPS TFT LCD,Google Android 4.4.2 (KitKat)
Sony Xperia E3 Dual HSPA D2212,Sep 2014,Qualcomm Snapdragon 400 MSM8226 (Snapdragon S4 ),2330 mAh,1 GB,4 GB,4 MP,1 MP,480x854,Color IPS TFT LCD,Google Android 4.4.2 (KitKat)
Sony Xperia Z3 TD-LTE L55t  (Sony Pegasus),Sep 2014,Qualcomm Snapdragon 801 MSM8974AC v3,3100 mAh,3 GB,16 GB,20 MP,2 MP,1080x1920,Color PVA TFT LCD,Google Android 4.4.4 (KitKat)
Sony Xperia Z3 Compact LTE-A D5803 M55w,Sep 2014,Qualcomm Snapdragon 801 MSM8974AC v3,2600 mAh,2 GB,16 GB,20 MP,2 MP,720x1280,Color IPS TFT LCD,Google Android 4.4.4 (KitKat)
Sony Xperia Z3 LTE-A D6603  (Sony Pegasus Gina),Sep 2014,Qualcomm Snapdragon 801 MSM8974AC v3,3100 mAh,3 GB,16 GB,20 MP,2 MP,1080x1920,Color PVA TFT LCD,Google Android 4.4.4 (KitKat)
Sony Xperia Z3 TD-LTE D6653  (Sony Pegasus),Sep 2014,Qualcomm Snapdragon 801 MSM8974AC v3,3100 mAh,3 GB,16 GB,20 MP,2 MP,1080x1920,Color PVA TFT LCD,Google Android 4.4.4 (KitKat)
Sony Xperia Z3 TV 4G LTE D6643  (Sony Pegasus),Sep 2014,Qualcomm Snapdragon 801 MSM8974AC v3,3100 mAh,3 GB,16 GB,20 MP,2 MP,1080x1920,Color PVA TFT LCD,Google Android 4.4.4 (KitKat)
Sony Xperia C3 LTE-A D2533,Oct 2014,Qualcomm Snapdragon 400 MSM8926,2500 mAh,1 GB,8 GB,8 MP,5 MP,720x1280,Color PVA TFT LCD,Google Android 4.4.2 (KitKat)
Sony Xperia E3 LTE D2206,Oct 2014,Qualcomm Snapdragon 400 MSM8926,2330 mAh,1 GB,4 GB,4 MP,1 MP,480x854,Color IPS TFT LCD,Google Android 4.4.2 (KitKat)
Sony Xperia E3 LTE D2203,Oct 2014,Qualcomm Snapdragon 400 MSM8926,2330 mAh,1 GB,4 GB,4 MP,1 MP,480x854,Color IPS TFT LCD,Google Android 4.4.2 (KitKat)
Sony Xperia E3 HSPA D2202,Oct 2014,Qualcomm Snapdragon 400 MSM8226 (Snapdragon S4 ),2330 mAh,1 GB,4 GB,4 MP,1 MP,480x854,Color IPS TFT LCD,Google Android 4.4.4 (KitKat)
Sony Xperia Z3 4G LTE SO-01G  (Sony Pegasus Maki),Oct 2014,Qualcomm Snapdragon 801 MSM8974AC v3,3100 mAh,3 GB,32 GB,20 MP,2 MP,1080x1920,Color PVA TFT LCD,Google Android 4.4.4 (KitKat)
Sony Xperia Z3 4G TD-LTE L55u  (Sony Pegasus),Oct 2014,Qualcomm Snapdragon 801 MSM8974AC v3,3100 mAh,3 GB,16 GB,20 MP,2 MP,1080x1920,Color PVA TFT LCD,Google Android 4.4.4 (KitKat)
Sony Xperia Z3 TD-LTE 401SO  (Sony Pegasus),Oct 2014,Qualcomm Snapdragon 801 MSM8974AC v3,3100 mAh,3 GB,32 GB,20 MP,2 MP,1080x1920,Color PVA TFT LCD,Google Android 4.4.4 (KitKat)
Sony Xperia Z3 Dual LTE-A D6633  (Sony Pegasus),Oct 2014,Qualcomm Snapdragon 801 MSM8974AC v3,3100 mAh,3 GB,16 GB,20 MP,2 MP,1080x1920,Color PVA TFT LCD,Google Android 4.4.4 (KitKat)
