Nama Produk,Tahun Rilis,CPU,Kapasitas Baterai,RAM,Memori Internal,Kamera Utama,Kamera Selfie,Resolusi,Tipe Layar,Operasi Sistem
Apple iPhone Xs A2098 TD-LTE JP 256GB  (Apple iPhone 11.2),Sep 2018,Apple A12 Bionic APL1081 / APL1W81 (T8020),2659 mAh,4 GB,256 GB,12 MP,7 MP,1125x2436,AM-OLED,Apple iOS 12
Apple iPhone Xs Max A2104 Dual SIM TD-LTE CN 512GB  (Apple iPhone 11.6),Sep 2018,Apple A12 Bionic APL1081 / APL1W81 (T8020),3179 mAh,4 GB,512 GB,12 MP,7 MP,1242x2688,AM-OLED,Apple iOS 12
Apple iPhone Xs A2098 TD-LTE JP 512GB  (Apple iPhone 11.2),Sep 2018,Apple A12 Bionic APL1081 / APL1W81 (T8020),2659 mAh,4 GB,512 GB,12 MP,7 MP,1125x2436,AM-OLED,Apple iOS 12
Apple iPhone Xs Max A2104 Dual SIM TD-LTE CN 64GB  (Apple iPhone 11.6),Sep 2018,Apple A12 Bionic APL1081 / APL1W81 (T8020),3179 mAh,4 GB,64 GB,12 MP,7 MP,1242x2688,AM-OLED,Apple iOS 12
Apple iPhone Xs A2100 Dual SIM TD-LTE CN 512GB  (Apple iPhone 11.2),Sep 2018,Apple A12 Bionic APL1081 / APL1W81 (T8020),2659 mAh,4 GB,512 GB,12 MP,7 MP,1125x2436,AM-OLED,Apple iOS 12
Apple iPhone XR A1984 TD-LTE NA 256GB  (Apple iPhone 11.8),Sep 2018,Apple A12 Bionic APL1081 / APL1W81 (T8020),2945 mAh,3 GB,256 GB,12 MP,7 MP,828x1792,Color IPS TFT LCD,Apple iOS 12
Apple iPhone XR A2105 Global TD-LTE 64GB  (Apple iPhone 11.8),Sep 2018,Apple A12 Bionic APL1081 / APL1W81 (T8020),2945 mAh,3 GB,64 GB,12 MP,7 MP,828x1792,Color IPS TFT LCD,Apple iOS 12
Apple iPhone XR A2105 Global TD-LTE 256GB  (Apple iPhone 11.8),Sep 2018,Apple A12 Bionic APL1081 / APL1W81 (T8020),2945 mAh,3 GB,256 GB,12 MP,7 MP,828x1792,Color IPS TFT LCD,Apple iOS 12
Apple iPhone XR A2106 TD-LTE JP 128GB  (Apple iPhone 11.8),Sep 2018,Apple A12 Bionic APL1081 / APL1W81 (T8020),2945 mAh,3 GB,128 GB,12 MP,7 MP,828x1792,Color IPS TFT LCD,Apple iOS 12
Apple iPhone XR A1984 TD-LTE NA 64GB  (Apple iPhone 11.8),Sep 2018,Apple A12 Bionic APL1081 / APL1W81 (T8020),2945 mAh,3 GB,64 GB,12 MP,7 MP,828x1792,Color IPS TFT LCD,Apple iOS 12
