Nama Produk,Tahun Rilis,CPU,Kapasitas Baterai,RAM,Memori Internal,Kamera Utama,Kamera Selfie,Resolusi,Tipe Layar,Operasi Sistem
Vivo V15 Pro Standard Edition Dual SIM TD-LTE IN ID NP TH 128GB 1818  (BBK 1818),Mar 2019,Qualcomm Snapdragon 675 SM6150,3700 mAh,6 GB,128 GB,48 MP,32 MP,1080x2340,AM-OLED,Google Android 9.0 (Pie)
Vivo X27 Standard Edition Dual SIM TD-LTE CN 128GB V1838T  (BBK V1838),Mar 2019,Qualcomm Snapdragon 675 SM6150,4000 mAh,8 GB,128 GB,48 MP,15 MP,1080x2340,AM-OLED,Google Android 9.0 (Pie)
Vivo Y93 Lite Dual SIM TD-LTE RU 1817  (BBK 1817),Apr 2019,Qualcomm Snapdragon 439 SDM439,4030 mAh,3 GB,32 GB,13 MP,8 MP,720x1520,Color IPS TFT LCD,Google Android 8.1 (Oreo)
Vivo S1 Dual SIM TD-LTE CN 128GB V1831A / Vivo Z5  (BBK V1831),Apr 2019,MediaTek Helio P70 MT6771WT,3940 mAh,6 GB,128 GB,12 MP,32 MP,1080x2340,Color IPS TFT LCD,Google Android 9.0 (Pie)
Vivo S1 Dual SIM TD-LTE CN 128GB V1831T  (BBK V1831),Apr 2019,MediaTek Helio P70 MT6771WT,3940 mAh,6 GB,128 GB,12 MP,32 MP,1080x2340,Color IPS TFT LCD,Google Android 9.0 (Pie)
Vivo iQOO Monster Edition Dual SIM TD-LTE CN 128GB V1824A  (BBK V1824),Apr 2019,Qualcomm Snapdragon 855 SM8150 (Hana),4000 mAh,12 GB,128 GB,12 MP,12 MP,1080x2340,AM-OLED,Google Android 9.0 (Pie)
Vivo X27 Pro Dual SIM TD-LTE CN 256GB V1836A  (BBK V1836),Apr 2019,Qualcomm Snapdragon 710 SDM710,4000 mAh,8 GB,256 GB,48 MP,32 MP,1080x2460,AM-OLED,Google Android 9.0 (Pie)
Vivo X27 Pro Dual SIM TD-LTE CN 256GB V1836T  (BBK V1836),Apr 2019,Qualcomm Snapdragon 710 SDM710,4000 mAh,8 GB,256 GB,48 MP,32 MP,1080x2460,AM-OLED,Google Android 9.0 (Pie)
Vivo Y17 2019 Dual SIM TD-LTE AU HK PH 128GB 1902  (BBK V1901),May 2019,MediaTek Helio P35 MT6765,5000 mAh,4 GB,128 GB,13 MP,19 MP,720x1544,Color IPS TFT LCD,Google Android 9.0 (Pie)
Vivo Y17 2019 Dual SIM TD-LTE IN ID NP PK 128GB 1902  (BBK V1901),May 2019,MediaTek Helio P35 MT6765,5000 mAh,4 GB,128 GB,13 MP,19 MP,720x1544,Color IPS TFT LCD,Google Android 9.0 (Pie)
Vivo Y17 2019 Dual SIM TD-LTE SG VN MY TH 128GB 1902  (BBK V1901),May 2019,MediaTek Helio P35 MT6765,5000 mAh,4 GB,128 GB,13 MP,19 MP,720x1544,Color IPS TFT LCD,Google Android 9.0 (Pie)
Vivo Y3 2019 Dual SIM TD-LTE CN 128GB V1901A  (BBK V1901),May 2019,MediaTek Helio P35 MT6765,5000 mAh,4 GB,128 GB,13 MP,19 MP,720x1544,Color IPS TFT LCD,Google Android 9.0 (Pie)
Vivo Y3 2019 Dual SIM TD-LTE CN 128GB V1901T  (BBK V1901),May 2019,MediaTek Helio P35 MT6765,5000 mAh,4 GB,128 GB,13 MP,19 MP,720x1544,Color IPS TFT LCD,Google Android 9.0 (Pie)
Vivo Y17 2019 Dual SIM TD-LTE RU KZ 64GB 1902  (BBK V1901),May 2019,MediaTek Helio P35 MT6765,5000 mAh,4 GB,64 GB,13 MP,19 MP,720x1544,Color IPS TFT LCD,Google Android 9.0 (Pie)
Vivo Y17 2019 Dual SIM TD-LTE SG VN MY TH 64GB 1902  (BBK V1901),May 2019,MediaTek Helio P35 MT6765,5000 mAh,4 GB,64 GB,13 MP,19 MP,720x1544,Color IPS TFT LCD,Google Android 9.0 (Pie)
Vivo S1 Pro Standard Edition Dual SIM TD-LTE CN 128GB V1832A  (BBK V1832),May 2019,Qualcomm Snapdragon 675 SM6150,3700 mAh,6 GB,128 GB,48 MP,32 MP,1080x2340,AM-OLED,Google Android 9.0 (Pie)
Vivo S1 Pro Standard Edition Dual SIM TD-LTE CN 128GB V1832T  (BBK V1832),May 2019,Qualcomm Snapdragon 675 SM6150,3700 mAh,6 GB,128 GB,48 MP,32 MP,1080x2340,AM-OLED,Google Android 9.0 (Pie)
Vivo S1 Pro Premium Edition Dual SIM TD-LTE CN 128GB V1832A  (BBK V1832),May 2019,Qualcomm Snapdragon 675 SM6150,3700 mAh,8 GB,128 GB,48 MP,32 MP,1080x2340,AM-OLED,Google Android 9.0 (Pie)
Vivo S1 Pro Standard Edition Dual SIM TD-LTE CN 256GB V1832A  (BBK V1832),May 2019,Qualcomm Snapdragon 675 SM6150,3700 mAh,6 GB,256 GB,48 MP,32 MP,1080x2340,AM-OLED,Google Android 9.0 (Pie)
Vivo Y15 2019 Dual SIM TD-LTE IN PH 64GB 1901  (BBK 1901),May 2019,MediaTek Helio P22 MT6762,5000 mAh,4 GB,64 GB,13 MP,15 MP,720x1544,Color IPS TFT LCD,Google Android 9.0 (Pie)
Vivo Y12 2019 Premium Edition Dual SIM TD-LTE IN 32GB 1904  (BBK PD1901),May 2019,MediaTek Helio P22 MT6762,5000 mAh,4 GB,32 GB,13 MP,8 MP,720x1544,Color IPS TFT LCD,Google Android 9.0 (Pie)
Vivo Y12 2019 Standard Edition Dual SIM TD-LTE IN PH 64GB 1904  (BBK PD1901),May 2019,MediaTek Helio P22 MT6762,5000 mAh,3 GB,64 GB,13 MP,8 MP,720x1544,Color IPS TFT LCD,Google Android 9.0 (Pie)
Vivo Y15 2019 Dual SIM TD-LTE ID PK NP MN 64GB 1901  (BBK 1901),Jun 2019,MediaTek Helio P22 MT6762,5000 mAh,4 GB,64 GB,13 MP,15 MP,720x1544,Color IPS TFT LCD,Google Android 9.0 (Pie)
Vivo Y15 2019 Dual SIM TD-LTE VN 64GB 1901  (BBK 1901),Jun 2019,MediaTek Helio P22 MT6762,5000 mAh,4 GB,64 GB,13 MP,15 MP,720x1544,Color IPS TFT LCD,Google Android 9.0 (Pie)
Vivo Y12 2019 Standard Edition Dual SIM TD-LTE ID 32GB 1904  (BBK PD1901),Jun 2019,MediaTek Helio P22 MT6762,5000 mAh,3 GB,32 GB,13 MP,8 MP,720x1544,Color IPS TFT LCD,Google Android 9.0 (Pie)
Vivo Y12 2019 Standard Edition Dual SIM TD-LTE MY TH 32GB 1904  (BBK PD1901),Jun 2019,MediaTek Helio P22 MT6762,5000 mAh,3 GB,32 GB,13 MP,8 MP,720x1544,Color IPS TFT LCD,Google Android 9.0 (Pie)
Vivo Y12 2019 Standard Edition Dual SIM TD-LTE ID PK NP 64GB 1904  (BBK PD1901),Jun 2019,MediaTek Helio P22 MT6762,5000 mAh,3 GB,64 GB,13 MP,8 MP,720x1544,Color IPS TFT LCD,Google Android 9.0 (Pie)
Vivo Y12 2019 Standard Edition Dual SIM TD-LTE MY TH VN SG HK 64GB 1904  (BBK PD1901),Jun 2019,MediaTek Helio P22 MT6762,5000 mAh,3 GB,64 GB,13 MP,8 MP,720x1544,Color IPS TFT LCD,Google Android 9.0 (Pie)
Vivo Z5x Premium Edition Dual SIM TD-LTE CN 128GB V1911A  (BBK V1919),Jun 2019,Qualcomm Snapdragon 710 SDM710,5000 mAh,6 GB,128 GB,15 MP,15 MP,1080x2340,Color IPS TFT LCD,Google Android 9.0 (Pie)
Vivo Z5x Top Edition Dual SIM TD-LTE CN 128GB V1919A  (BBK V1919),Jun 2019,Qualcomm Snapdragon 710 SDM710,5000 mAh,8 GB,128 GB,15 MP,15 MP,1080x2340,Color IPS TFT LCD,Google Android 9.0 (Pie)
Vivo Z5x Standard Edition Dual SIM TD-LTE CN 64GB V1911A  (BBK V1919),Jun 2019,Qualcomm Snapdragon 710 SDM710,5000 mAh,4 GB,64 GB,15 MP,15 MP,1080x2340,Color IPS TFT LCD,Google Android 9.0 (Pie)
Vivo Z5x Premium Edition Dual SIM TD-LTE CN 64GB V1911A  (BBK V1919),Jun 2019,Qualcomm Snapdragon 710 SDM710,5000 mAh,6 GB,64 GB,15 MP,15 MP,1080x2340,Color IPS TFT LCD,Google Android 9.0 (Pie)
Vivo S1 Dual SIM TD-LTE HK 128GB 1907  (BBK V1913),Jul 2019,MediaTek Helio P65 MT6768,4500 mAh,6 GB,128 GB,15 MP,32 MP,1080x2340,AM-OLED,Google Android 9.0 (Pie)
Vivo Y12 2019 Standard Edition Dual SIM TD-LTE TW AU 64GB 1904  (BBK PD1901),Jul 2019,MediaTek Helio P22 MT6762,5000 mAh,3 GB,64 GB,13 MP,8 MP,720x1544,Color IPS TFT LCD,Google Android 9.0 (Pie)
Vivo Y12 2019 Standard Edition Global Dual SIM TD-LTE 64GB 1904  (BBK PD1901),Jul 2019,MediaTek Helio P22 MT6762,5000 mAh,3 GB,64 GB,13 MP,8 MP,720x1544,Color IPS TFT LCD,Google Android 9.0 (Pie)
iQOO Neo Standard Edition Dual SIM TD-LTE CN 128GB V1914A  (BBK V1914),Jul 2019,Qualcomm Snapdragon 845 SDM845 (Napali),4500 mAh,6 GB,128 GB,12 MP,12 MP,1080x2340,AM-OLED,Google Android 9.0 (Pie)
iQOO Neo Premium Edition Dual SIM TD-LTE CN 128GB V1914A  (BBK V1914),Jul 2019,Qualcomm Snapdragon 845 SDM845 (Napali),4500 mAh,8 GB,128 GB,12 MP,12 MP,1080x2340,AM-OLED,Google Android 9.0 (Pie)
iQOO Neo Premium Edition Dual SIM TD-LTE CN 128GB V1914T  (BBK V1914),Jul 2019,Qualcomm Snapdragon 845 SDM845 (Napali),4500 mAh,8 GB,128 GB,12 MP,12 MP,1080x2340,AM-OLED,Google Android 9.0 (Pie)
iQOO Neo Standard Edition Dual SIM TD-LTE CN 64GB V1914A  (BBK V1914),Jul 2019,Qualcomm Snapdragon 845 SDM845 (Napali),4500 mAh,6 GB,64 GB,12 MP,12 MP,1080x2340,AM-OLED,Google Android 9.0 (Pie)
iQOO Neo Premium Edition Dual SIM TD-LTE CN 64GB V1914A  (BBK V1914),Jul 2019,Qualcomm Snapdragon 845 SDM845 (Napali),4500 mAh,8 GB,64 GB,12 MP,12 MP,1080x2340,AM-OLED,Google Android 9.0 (Pie)
Vivo Z1 Pro Premium Edition Dual SIM TD-LTE IN 128GB 1951  (BBK V1919),Jul 2019,Qualcomm Snapdragon 712 SDM712,5000 mAh,6 GB,128 GB,15 MP,32 MP,1080x2340,Color IPS TFT LCD,Google Android 9.0 (Pie)
Vivo Z1 Pro Standard Edition Dual SIM TD-LTE IN 64GB 1951  (BBK V1919),Jul 2019,Qualcomm Snapdragon 712 SDM712,5000 mAh,4 GB,64 GB,15 MP,32 MP,1080x2340,Color IPS TFT LCD,Google Android 9.0 (Pie)
Vivo Z1 Pro Premium Edition Dual SIM TD-LTE IN 64GB 1951  (BBK V1919),Jul 2019,Qualcomm Snapdragon 712 SDM712,5000 mAh,6 GB,64 GB,15 MP,32 MP,1080x2340,Color IPS TFT LCD,Google Android 9.0 (Pie)
Vivo Y7s 2019 Dual SIM TD-LTE CN 128GB V1913A  (BBK V1913),Jul 2019,MediaTek Helio P65 MT6768,4500 mAh,6 GB,128 GB,15 MP,15 MP,1080x2340,AM-OLED,Google Android 9.0 (Pie)
Vivo Y7s 2019 Dual SIM TD-LTE CN 128GB V1913T  (BBK V1913),Jul 2019,MediaTek Helio P65 MT6768,4500 mAh,6 GB,128 GB,15 MP,15 MP,1080x2340,AM-OLED,Google Android 9.0 (Pie)
Vivo Y90 Dual SIM TD-LTE IN 16GB 1908  (BBK 1908),Jul 2019,MediaTek Helio A22 MT6761,4030 mAh,2 GB,16 GB,8 MP,4 MP,720x1520,Color IPS TFT LCD,Google Android 8.1 (Oreo)
Vivo iQOO Pro Premium Edition Dual SIM TD-LTE CN 128GB V1922A  (BBK V1922),Aug 2019,Qualcomm Snapdragon 855+ SM8150-AC (Hana),4500 mAh,12 GB,128 GB,12 MP,12 MP,1080x2340,AM-OLED,Google Android 9.0 (Pie)
Vivo iQOO Pro Premium Edition Dual SIM TD-LTE CN 128GB V1922T  (BBK V1922),Aug 2019,Qualcomm Snapdragon 855+ SM8150-AC (Hana),4500 mAh,12 GB,128 GB,12 MP,12 MP,1080x2340,AM-OLED,Google Android 9.0 (Pie)
Vivo iQOO Pro Standard Edition Dual SIM TD-LTE CN 128GB V1922A  (BBK V1922),Aug 2019,Qualcomm Snapdragon 855+ SM8150-AC (Hana),4500 mAh,8 GB,128 GB,12 MP,12 MP,1080x2340,AM-OLED,Google Android 9.0 (Pie)
Vivo iQOO Pro Standard Edition Dual SIM TD-LTE CN 128GB V1922T  (BBK V1922),Aug 2019,Qualcomm Snapdragon 855+ SM8150-AC (Hana),4500 mAh,8 GB,128 GB,12 MP,12 MP,1080x2340,AM-OLED,Google Android 9.0 (Pie)
Vivo S1 Dual SIM TD-LTE ID 128GB 1907  (BBK V1913),Aug 2019,MediaTek Helio P65 MT6768,4500 mAh,4 GB,128 GB,15 MP,32 MP,1080x2340,AM-OLED,Google Android 9.0 (Pie)
Vivo S1 Dual SIM TD-LTE AU PH SG 128GB 1907  (BBK V1913),Aug 2019,MediaTek Helio P65 MT6768,4500 mAh,6 GB,128 GB,15 MP,32 MP,1080x2340,AM-OLED,Google Android 9.0 (Pie)
Vivo Z5 Standard Edition Dual SIM TD-LTE CN 128GB V1921A  (BBK V1921),Aug 2019,Qualcomm Snapdragon 712 SDM712,4500 mAh,6 GB,128 GB,48 MP,32 MP,1080x2340,AM-OLED,Google Android 9.0 (Pie)
Vivo Z5 Standard Edition Dual SIM TD-LTE CN 128GB V1921T  (BBK V1921),Aug 2019,Qualcomm Snapdragon 712 SDM712,4500 mAh,6 GB,128 GB,48 MP,32 MP,1080x2340,AM-OLED,Google Android 9.0 (Pie)
Vivo Z5 Premium Edition Dual SIM TD-LTE CN 128GB V1921A  (BBK V1921),Aug 2019,Qualcomm Snapdragon 712 SDM712,4500 mAh,8 GB,128 GB,48 MP,32 MP,1080x2340,AM-OLED,Google Android 9.0 (Pie)
Vivo Z5 Standard Edition Dual SIM TD-LTE CN 256GB V1921A  (BBK V1921),Aug 2019,Qualcomm Snapdragon 712 SDM712,4500 mAh,6 GB,256 GB,48 MP,32 MP,1080x2340,AM-OLED,Google Android 9.0 (Pie)
Vivo Z5 Standard Edition Dual SIM TD-LTE CN 256GB V1921T  (BBK V1921),Aug 2019,Qualcomm Snapdragon 712 SDM712,4500 mAh,6 GB,256 GB,48 MP,32 MP,1080x2340,AM-OLED,Google Android 9.0 (Pie)
Vivo Z5 Standard Edition Dual SIM TD-LTE CN 64GB V1921A  (BBK V1921),Aug 2019,Qualcomm Snapdragon 712 SDM712,4500 mAh,6 GB,64 GB,48 MP,32 MP,1080x2340,AM-OLED,Google Android 9.0 (Pie)
Vivo Y90 Dual SIM TD-LTE PK NP MN 32GB 1908  (BBK 1908),Aug 2019,MediaTek Helio A22 MT6761,4030 mAh,2 GB,32 GB,8 MP,4 MP,720x1520,Color IPS TFT LCD,Google Android 8.1 (Oreo)
Vivo S1 Dual SIM TD-LTE TH VN MY 128GB 1907  (BBK V1913),Aug 2019,MediaTek Helio P65 MT6768,4500 mAh,6 GB,128 GB,15 MP,32 MP,1080x2340,AM-OLED,Google Android 9.0 (Pie)
Vivo V17 Neo Dual SIM TD-LTE RU NP PK BD 128GB 1907 / S1  (BBK V1913),Aug 2019,MediaTek Helio P65 MT6768,4500 mAh,6 GB,128 GB,15 MP,32 MP,1080x2340,AM-OLED,Google Android 9.0 (Pie)
Vivo S1 Dual SIM TD-LTE IN 128GB 1907  (BBK V1913),Aug 2019,MediaTek Helio P65 MT6768,4500 mAh,6 GB,128 GB,15 MP,32 MP,1080x2340,AM-OLED,Google Android 9.0 (Pie)
Vivo S1 Dual SIM TD-LTE IN 64GB 1907  (BBK V1913),Aug 2019,MediaTek Helio P65 MT6768,4500 mAh,4 GB,64 GB,15 MP,32 MP,1080x2340,AM-OLED,Google Android 9.0 (Pie)
Vivo Y90 Dual SIM TD-LTE BD EG KE 32GB 1908  (BBK 1908),Aug 2019,MediaTek Helio A22 MT6761,4030 mAh,2 GB,32 GB,8 MP,4 MP,720x1520,Color IPS TFT LCD,Google Android 8.1 (Oreo)
Vivo iQOO Pro 5G Premium Edition Dual SIM TD-LTE CN 128GB V1916A  (BBK V1916),Aug 2019,Qualcomm Snapdragon 855+ SM8150-AC (Hana),4500 mAh,12 GB,128 GB,12 MP,12 MP,1080x2340,AM-OLED,Google Android 9.0 (Pie)
Vivo iQOO Pro 5G Standard Edition Dual SIM TD-LTE CN 128GB V1916A  (BBK V1916),Aug 2019,Qualcomm Snapdragon 855+ SM8150-AC (Hana),4500 mAh,8 GB,128 GB,12 MP,12 MP,1080x2340,AM-OLED,Google Android 9.0 (Pie)
Vivo iQOO Pro 5G Standard Edition Dual SIM TD-LTE CN 128GB V1916T  (BBK V1916),Aug 2019,Qualcomm Snapdragon 855+ SM8150-AC (Hana),4500 mAh,8 GB,128 GB,12 MP,12 MP,1080x2340,AM-OLED,Google Android 9.0 (Pie)
Vivo iQOO Pro 5G Premium Edition Dual SIM TD-LTE CN 256GB V1916A  (BBK V1916),Aug 2019,Qualcomm Snapdragon 855+ SM8150-AC (Hana),4500 mAh,12 GB,256 GB,12 MP,12 MP,1080x2340,AM-OLED,Google Android 9.0 (Pie)
Vivo iQOO Pro 5G Standard Edition Dual SIM TD-LTE CN 256GB V1916A  (BBK V1916),Aug 2019,Qualcomm Snapdragon 855+ SM8150-AC (Hana),4500 mAh,8 GB,256 GB,12 MP,12 MP,1080x2340,AM-OLED,Google Android 9.0 (Pie)
Vivo iQOO Pro 5G Standard Edition Dual SIM TD-LTE CN 256GB V1916T  (BBK V1916),Aug 2019,Qualcomm Snapdragon 855+ SM8150-AC (Hana),4500 mAh,8 GB,256 GB,12 MP,12 MP,1080x2340,AM-OLED,Google Android 9.0 (Pie)
Vivo Nex 3 5G Premium Edition Dual SIM TD-LTE CN 256GB V1924A  (BBK V1924),Sep 2019,Qualcomm Snapdragon 855+ SM8150-AC (Hana),4500 mAh,12 GB,256 GB,64 MP,15 MP,1080x2256,AM-OLED,Google Android 9.0 (Pie)
Vivo Z1x Dual SIM TD-LTE IN 128GB 1917  (BBK V1921),Sep 2019,Qualcomm Snapdragon 712 SDM712,4500 mAh,6 GB,128 GB,48 MP,32 MP,1080x2340,AM-OLED,Google Android 9.0 (Pie)
Vivo Z1x Dual SIM TD-LTE IN 64GB 1917  (BBK V1921),Sep 2019,Qualcomm Snapdragon 712 SDM712,4500 mAh,6 GB,64 GB,48 MP,32 MP,1080x2340,AM-OLED,Google Android 9.0 (Pie)
Vivo U10 Standard Edition Dual SIM TD-LTE IN 32GB 1916  (BBK V1928),Sep 2019,Qualcomm Snapdragon 665 SM6125 (Trinket),5000 mAh,3 GB,32 GB,13 MP,8 MP,720x1544,Color IPS TFT LCD,Google Android 9.0 (Pie)
Vivo U3x Standard Edition Dual SIM TD-LTE CN 32GB V1928A  (BBK V1928),Sep 2019,Qualcomm Snapdragon 665 SM6125 (Trinket),5000 mAh,3 GB,32 GB,13 MP,8 MP,720x1544,Color IPS TFT LCD,Google Android 9.0 (Pie)
Vivo U3x Standard Edition Dual SIM TD-LTE CN 32GB V1928T  (BBK V1928),Sep 2019,Qualcomm Snapdragon 665 SM6125 (Trinket),5000 mAh,3 GB,32 GB,13 MP,8 MP,720x1544,Color IPS TFT LCD,Google Android 9.0 (Pie)
Vivo U10 Standard Edition Dual SIM TD-LTE IN 64GB 1916  (BBK V1928),Sep 2019,Qualcomm Snapdragon 665 SM6125 (Trinket),5000 mAh,3 GB,64 GB,13 MP,8 MP,720x1544,Color IPS TFT LCD,Google Android 9.0 (Pie)
Vivo U3x Standard Edition Dual SIM TD-LTE CN 64GB V1928A  (BBK V1928),Sep 2019,Qualcomm Snapdragon 665 SM6125 (Trinket),5000 mAh,3 GB,64 GB,13 MP,8 MP,720x1544,Color IPS TFT LCD,Google Android 9.0 (Pie)
Vivo U3x Standard Edition Dual SIM TD-LTE CN 64GB V1928T  (BBK V1928),Sep 2019,Qualcomm Snapdragon 665 SM6125 (Trinket),5000 mAh,3 GB,64 GB,13 MP,8 MP,720x1544,Color IPS TFT LCD,Google Android 9.0 (Pie)
Vivo U10 Premium Edition Dual SIM TD-LTE IN 64GB 1916  (BBK V1928),Sep 2019,Qualcomm Snapdragon 665 SM6125 (Trinket),5000 mAh,4 GB,64 GB,13 MP,8 MP,720x1544,Color IPS TFT LCD,Google Android 9.0 (Pie)
Vivo U3x Premium Edition Dual SIM TD-LTE CN 64GB V1928A  (BBK V1928),Sep 2019,Qualcomm Snapdragon 665 SM6125 (Trinket),5000 mAh,4 GB,64 GB,13 MP,8 MP,720x1544,Color IPS TFT LCD,Google Android 9.0 (Pie)
Vivo U3x Premium Edition Dual SIM TD-LTE CN 64GB V1928T  (BBK V1928),Sep 2019,Qualcomm Snapdragon 665 SM6125 (Trinket),5000 mAh,4 GB,64 GB,13 MP,8 MP,720x1544,Color IPS TFT LCD,Google Android 9.0 (Pie)
Vivo Nex 3 Dual SIM TD-LTE CN 128GB V1923A  (BBK V1923),Sep 2019,Qualcomm Snapdragon 855+ SM8150-AC (Hana),4500 mAh,8 GB,128 GB,64 MP,15 MP,1080x2256,AM-OLED,Google Android 9.0 (Pie)
Vivo Nex 3 Dual SIM TD-LTE CN 128GB V1923T  (BBK V1923),Sep 2019,Qualcomm Snapdragon 855+ SM8150-AC (Hana),4500 mAh,8 GB,128 GB,64 MP,15 MP,1080x2256,AM-OLED,Google Android 9.0 (Pie)
Vivo Nex 3 Global Dual SIM TD-LTE 128GB 1912  (BBK V1923),Sep 2019,Qualcomm Snapdragon 855+ SM8150-AC (Hana),4500 mAh,8 GB,128 GB,64 MP,15 MP,1080x2256,AM-OLED,Google Android 9.0 (Pie)
Vivo Nex 3 5G Standard Edition Dual SIM TD-LTE CN 256GB V1924A  (BBK V1924),Sep 2019,Qualcomm Snapdragon 855+ SM8150-AC (Hana),4500 mAh,8 GB,256 GB,64 MP,15 MP,1080x2256,AM-OLED,Google Android 9.0 (Pie)
Vivo Nex 3 5G Standard Edition Dual SIM TD-LTE CN 256GB V1924T  (BBK V1924),Sep 2019,Qualcomm Snapdragon 855+ SM8150-AC (Hana),4500 mAh,8 GB,256 GB,64 MP,15 MP,1080x2256,AM-OLED,Google Android 9.0 (Pie)
Vivo Nex 3 Global Dual SIM TD-LTE 256GB 1912  (BBK V1923),Sep 2019,Qualcomm Snapdragon 855+ SM8150-AC (Hana),4500 mAh,8 GB,256 GB,64 MP,15 MP,1080x2256,AM-OLED,Google Android 9.0 (Pie)
iQOO Neo 855 Standard Edition Dual SIM TD-LTE CN 128GB V1936A  (BBK V1936),Oct 2019,Qualcomm Snapdragon 855 SM8150 (Hana),4500 mAh,6 GB,128 GB,12 MP,15 MP,1080x2340,AM-OLED,Google Android 9.0 (Pie)
iQOO Neo 855 Standard Edition Dual SIM TD-LTE CN 128GB V1936T  (BBK V1936),Oct 2019,Qualcomm Snapdragon 855 SM8150 (Hana),4500 mAh,6 GB,128 GB,12 MP,15 MP,1080x2340,AM-OLED,Google Android 9.0 (Pie)
iQOO Neo 855 Premium Edition Dual SIM TD-LTE CN 128GB V1936A  (BBK V1936),Oct 2019,Qualcomm Snapdragon 855 SM8150 (Hana),4500 mAh,8 GB,128 GB,12 MP,15 MP,1080x2340,AM-OLED,Google Android 9.0 (Pie)
iQOO Neo 855 Premium Edition Dual SIM TD-LTE CN 256GB V1936A  (BBK V1936),Oct 2019,Qualcomm Snapdragon 855 SM8150 (Hana),4500 mAh,8 GB,256 GB,12 MP,15 MP,1080x2340,AM-OLED,Google Android 9.0 (Pie)
iQOO Neo 855 Premium Edition Dual SIM TD-LTE CN 256GB V1936T  (BBK V1936),Oct 2019,Qualcomm Snapdragon 855 SM8150 (Hana),4500 mAh,8 GB,256 GB,12 MP,15 MP,1080x2340,AM-OLED,Google Android 9.0 (Pie)
Vivo U3 Standard Edition Dual SIM TD-LTE CN 64GB V1941A  (BBK V1941),Oct 2019,Qualcomm Snapdragon 675 SM6150,5000 mAh,4 GB,64 GB,15 MP,15 MP,1080x2340,Color IPS TFT LCD,Google Android 9.0 (Pie)
Vivo U3 Standard Edition Dual SIM TD-LTE CN 64GB V1941T  (BBK V1941),Oct 2019,Qualcomm Snapdragon 675 SM6150,5000 mAh,4 GB,64 GB,15 MP,15 MP,1080x2340,Color IPS TFT LCD,Google Android 9.0 (Pie)
Vivo U3 Premium Edition Dual SIM TD-LTE CN 64GB V1941A  (BBK V1941),Oct 2019,Qualcomm Snapdragon 675 SM6150,5000 mAh,6 GB,64 GB,15 MP,15 MP,1080x2340,Color IPS TFT LCD,Google Android 9.0 (Pie)
Vivo U3 Premium Edition Dual SIM TD-LTE CN 64GB V1941T  (BBK V1941),Oct 2019,Qualcomm Snapdragon 675 SM6150,5000 mAh,6 GB,64 GB,15 MP,15 MP,1080x2340,Color IPS TFT LCD,Google Android 9.0 (Pie)
iQOO Neo 855 Standard Edition Dual SIM TD-LTE CN 64GB V1936A  (BBK V1936),Oct 2019,Qualcomm Snapdragon 855 SM8150 (Hana),4500 mAh,6 GB,64 GB,12 MP,15 MP,1080x2340,AM-OLED,Google Android 9.0 (Pie)
Vivo V17 Pro Dual SIM TD-LTE IN PK NP BD MN 128GB 1909  (BBK PD1931),Oct 2019,Qualcomm Snapdragon 675 SM6150,4100 mAh,8 GB,128 GB,48 MP,32 MP,1080x2400,AM-OLED,Google Android 9.0 (Pie)
Vivo V17 Pro Dual SIM TD-LTE HK 128GB 1910  (BBK PD1931B),Oct 2019,Qualcomm Snapdragon 675 SM6150,4100 mAh,8 GB,128 GB,48 MP,32 MP,1080x2400,AM-OLED,Google Android 9.0 (Pie)
Vivo V17 Pro Dual SIM TD-LTE MY VN 128GB 1910  (BBK PD1931B),Oct 2019,Qualcomm Snapdragon 675 SM6150,4100 mAh,8 GB,128 GB,48 MP,32 MP,1080x2400,AM-OLED,Google Android 9.0 (Pie)
Vivo V17 Pro Dual SIM TD-LTE TH ID 128GB 1910  (BBK PD1931B),Oct 2019,Qualcomm Snapdragon 675 SM6150,4100 mAh,8 GB,128 GB,48 MP,32 MP,1080x2400,AM-OLED,Google Android 9.0 (Pie)
Vivo V17 Pro Dual SIM TD-LTE TW SG 128GB 1910  (BBK PD1931B),Oct 2019,Qualcomm Snapdragon 675 SM6150,4100 mAh,8 GB,128 GB,48 MP,32 MP,1080x2400,AM-OLED,Google Android 9.0 (Pie)
Vivo V17 Pro Global Dual SIM TD-LTE 128GB 1910  (BBK PD1931B),Oct 2019,Qualcomm Snapdragon 675 SM6150,4100 mAh,8 GB,128 GB,48 MP,32 MP,1080x2400,AM-OLED,Google Android 9.0 (Pie)
Vivo Y11 2019 Dual SIM TD-LTE RU  (BBK V1930),Oct 2019,Qualcomm Snapdragon 439 SDM439,5000 mAh,3 GB,32 GB,13 MP,8 MP,720x1544,Color IPS TFT LCD,Google Android 9.0 (Pie)
Vivo Y3N 2019 Standard Edition Dual SIM TD-LTE CN 64GB V1930A  (BBK V1930),Oct 2019,Qualcomm Snapdragon 439 SDM439,5000 mAh,3 GB,64 GB,13 MP,8 MP,720x1544,Color IPS TFT LCD,Google Android 9.0 (Pie)
Vivo Y3N 2019 Standard Edition Dual SIM TD-LTE CN 64GB V1930T  (BBK V1930),Oct 2019,Qualcomm Snapdragon 439 SDM439,5000 mAh,3 GB,64 GB,13 MP,8 MP,720x1544,Color IPS TFT LCD,Google Android 9.0 (Pie)
