Nama Produk,Tahun Rilis,CPU,Kapasitas Baterai,RAM,Memori Internal,Kamera Utama,Kamera Selfie,Resolusi,Tipe Layar,Operasi Sistem
Vivo X5Max 4G TD-LTE,Dec 2014,Qualcomm Snapdragon 615 MSM8939,2000 mAh,2 GB,16 GB,13 MP,5 MP,1080x1920,Color IPS TFT LCD,Google Android 4.4.4 (KitKat)
Vivo Y29L TD-LTE,Jan 2015,Qualcomm Snapdragon 410 MSM8916,2000 mAh,1 GB,16 GB,12 MP,5 MP,720x1280,Color IPS TFT LCD,Google Android 4.4.4 (KitKat)
Vivo Y628 Dual SIM TD-LTE,Jan 2015,Qualcomm Snapdragon 410 MSM8916,-,1 GB,8 GB,8 MP,5 MP,540x960,Color TN-TFT LCD,Google Android 4.4.4 (KitKat)
Vivo X5Max L TD-LTE,Feb 2015,MediaTek MT6752,2000 mAh,2 GB,16 GB,13 MP,5 MP,1080x1920,Color IPS TFT LCD,Google Android 4.4.4 (KitKat)
Vivo X5Max V Dual SIM TD-LTE,Feb 2015,Qualcomm Snapdragon 615 MSM8939,2300 mAh,2 GB,16 GB,13 MP,5 MP,1080x1920,AM-OLED,Google Android 4.4.4 (KitKat)
Vivo Y929 Dual SIM TD-LTE,Mar 2015,Qualcomm Snapdragon 410 MSM8916,2000 mAh,1 GB,16 GB,12 MP,5 MP,720x1280,Color TN-TFT LCD,Google Android 4.4.4 (KitKat)
Vivo X5Max+ 4G TD-LTE,Mar 2015,MediaTek MT6752,2000 mAh,2 GB,16 GB,13 MP,5 MP,1080x1920,Color IPS TFT LCD,Google Android 4.4.4 (KitKat)
Vivo X5M 4G Dual SIM TD-LTE,Apr 2015,Qualcomm Snapdragon 615 MSM8939,2300 mAh,2 GB,16 GB,13 MP,5 MP,720x1280,Color IPS TFT LCD,Google Android 4.4.4 (KitKat)
Vivo Y623 Dual SIM TD-LTE CN,May 2015,Qualcomm Snapdragon 410 MSM8916,-,1 GB,8 GB,5 MP,1 MP,480x854,Color TN-TFT LCD,Google Android 4.4.4 (KitKat)
Vivo Y923 Dual SIM TD-LTE,May 2015,Qualcomm Snapdragon 410 MSM8916,1900 mAh,1 GB,8 GB,5 MP,1 MP,480x854,Color TN-TFT LCD,Google Android 4.4.4 (KitKat)
Vivo Xshot3 TD-LTE,May 2015,Qualcomm Snapdragon 810 MSM8994 v2.0,-,4 GB,64 GB,13 MP,8 MP,1080x1920,Color TN-TFT LCD,Google Android 5.0 (Lollipop)
Vivo V1 Dual SIM TD-LTE CN,Jul 2015,Qualcomm Snapdragon 410 MSM8916,2300 mAh,2 GB,16 GB,12 MP,5 MP,720x1280,Color TN-TFT LCD,Google Android 5.0.2 (Lollipop)
Vivo X5M L 4G Dual SIM TD-LTE,Jul 2015,Qualcomm Snapdragon 615 MSM8939,2300 mAh,2 GB,16 GB,13 MP,5 MP,720x1280,Color IPS TFT LCD,Google Android 5.0.2 (Lollipop)
Vivo V1 TD-LTE Dual SIM,Jul 2015,Qualcomm Snapdragon 410 MSM8916,2300 mAh,2 GB,16 GB,13 MP,5 MP,720x1280,Color IPS TFT LCD,Google Android 5.0 (Lollipop)
